CustomerID,SignupDate,TransactionDate,Revenue,Quantity,ProductCategory,Region,City,Country,TenureMonths,ChurnFlag,,OK
C0051,1/23/2023,2/20/2023,10.50,1,Sports,East,Evanmouth,Australia,0,Yes,,
C0284,2/23/2022,3/4/2023,10.51,1,Toys,North,Danielchester,United States,12,No,,
C0214,10/4/2023,11/23/2023,10.54,1,Electronics,South,Lake Matthew,United Kingdom,1,No,,
C0378,4/14/2022,4/11/2023,10.62,1,Home,West,Juliechester,United States,12,No,,
C0205,1/21/2023,4/21/2023,10.62,1,Electronics,South,Evanmouth,United Kingdom,3,No,,
C0358,12/1/2023,12/12/2023,10.64,1,Electronics,West,South Noah,France,0,No,,
C0441,1/28/2023,6/14/2023,10.71,1,Toys,South,South Christineshire,Canada,4,No,,
C0351,10/7/2022,11/13/2023,10.72,1,Beauty,North,East Lydiamouth,United Kingdom,13,No,,
C0412,11/23/2023,11/24/2023,10.74,1,Electronics,East,Ramirezstad,Germany,0,No,,
C0468,2/16/2022,3/31/2023,10.77,1,Toys,East,North Matthewberg,Germany,13,Yes,,
C0463,3/27/2022,11/1/2023,10.80,1,Apparel,East,Mooreport,Germany,19,No,,
C0013,4/4/2023,8/28/2023,10.85,1,Home,East,West Donald,Canada,4,No,,
C0124,7/28/2023,9/14/2023,10.89,1,Beauty,North,Lake Debra,Germany,1,No,,
C0365,5/8/2022,2/10/2023,10.93,1,Apparel,West,New Roberttown,Canada,9,No,,
C0044,5/20/2023,8/5/2023,10.94,1,Home,North,Lake Lisaport,United Kingdom,2,No,,
C0154,6/9/2023,7/26/2023,10.97,1,Home,East,Stevenland,Australia,1,No,,
C0076,12/31/2023,12/31/2023,11.00,1,Sports,East,Lake Larry,United Kingdom,0,No,,
C0079,7/21/2022,10/2/2023,11.00,1,Home,North,North Jessicaland,Canada,14,No,,
C0451,5/3/2023,10/21/2023,11.10,1,Electronics,West,Evanmouth,United States,5,No,,
C0093,7/7/2022,3/2/2023,11.13,1,Home,West,Lake Crystalbury,United States,7,No,,
C0425,2/16/2022,8/9/2022,11.13,1,Beauty,North,North Judithbury,United States,5,No,,
C0055,8/30/2022,3/9/2023,11.15,1,Beauty,East,Hoffmanville,Australia,6,No,,
C0363,9/13/2022,8/21/2023,11.19,1,Apparel,West,East Jessetown,United Kingdom,11,No,,
C0186,10/11/2023,11/19/2023,11.21,1,Electronics,South,North Micheleland,United States,1,No,,
C0058,12/6/2022,5/2/2023,11.32,1,Electronics,West,Sanchezfort,United Kingdom,4,No,,
C0047,10/9/2023,10/16/2023,11.35,1,Home,North,Daviston,Germany,0,No,,
C0305,6/10/2022,11/23/2023,11.36,1,Beauty,South,Hoffmanville,Germany,17,No,,
C0265,5/24/2022,6/1/2022,11.40,1,Apparel,North,Port Jacobland,United States,0,No,,
C0376,5/5/2023,12/8/2023,11.43,1,Electronics,South,Gomezchester,France,7,No,,
C0372,10/15/2022,3/21/2023,11.51,1,Beauty,West,Rodneyside,Germany,5,Yes,,
C0334,3/29/2023,8/5/2023,11.56,1,Apparel,East,North Micheleland,Canada,4,No,,
C0311,5/15/2022,5/6/2023,11.56,1,Beauty,West,East Jessetown,Canada,11,No,,
C0266,12/12/2022,6/11/2023,11.67,1,Home,North,North Amandahaven,United Kingdom,6,No,,
C0495,6/9/2022,7/20/2023,11.68,1,Sports,East,East Lydiamouth,France,13,No,,
C0345,4/22/2023,12/1/2023,11.73,1,Beauty,East,East Lydiamouth,Germany,7,No,,
C0308,10/4/2022,3/13/2023,11.78,1,Home,West,South Patrickmouth,Germany,5,Yes,,
C0323,8/18/2022,12/18/2022,11.94,1,Electronics,East,New Roberttown,Germany,4,No,,
C0283,6/1/2022,7/28/2022,11.95,1,Electronics,North,Lake Larry,Australia,1,No,,
C0121,2/17/2022,9/16/2023,11.96,1,Electronics,South,West Allison,United States,19,No,,
C0297,4/18/2023,11/18/2023,12.00,1,Home,East,East Lydiamouth,United Kingdom,7,No,,
C0236,9/2/2023,10/5/2023,12.24,1,Toys,West,Lake Larry,France,1,No,,
C0007,1/21/2022,10/25/2022,12.27,1,Sports,South,South Christineshire,Australia,9,No,,
C0401,2/20/2022,7/21/2022,12.34,1,Toys,South,Lake Nicoleview,Australia,5,Yes,,
C0010,4/12/2023,11/21/2023,12.44,1,Toys,West,North John,United States,7,No,,
C0450,8/24/2023,11/5/2023,12.45,1,Home,North,New Brooke,France,2,No,,
C0032,7/15/2023,11/7/2023,12.54,1,Sports,East,Cassandraton,Canada,3,No,,
C0093,7/7/2022,11/25/2023,12.65,1,Beauty,West,West Andrewside,Australia,16,No,,
C0400,12/28/2023,12/29/2023,12.67,1,Toys,East,South Aaron,France,0,No,,
C0101,12/10/2022,5/7/2023,12.67,1,Beauty,South,Samuelhaven,France,4,No,,
C0070,1/25/2023,8/30/2023,12.67,1,Apparel,East,East Josephville,Canada,7,No,,
C0015,1/8/2023,5/13/2023,12.70,1,Electronics,West,Taylorburgh,Australia,4,No,,
C0002,3/12/2023,8/10/2023,12.82,1,Beauty,South,West Allison,United Kingdom,5,No,,
C0408,11/10/2022,3/28/2023,12.84,1,Apparel,South,Leeville,Germany,4,No,,
C0332,10/11/2022,9/25/2023,12.88,1,Home,North,East Jamesside,Australia,11,No,,
C0343,8/8/2022,9/24/2023,12.89,1,Electronics,West,Lake Rebeccaside,Germany,13,No,,
C0301,12/7/2023,12/25/2023,12.95,1,Toys,West,North Micheleland,United States,0,No,,
C0339,2/18/2022,6/8/2022,12.95,1,Electronics,South,Hoffmanville,United Kingdom,3,Yes,,
C0055,8/30/2022,12/22/2023,12.97,1,Apparel,North,Daviston,France,15,No,,
C0039,7/9/2022,9/15/2022,13.04,1,Sports,East,Lake Crystalbury,Germany,2,No,,
C0151,6/20/2022,9/17/2023,13.09,1,Toys,South,Juliechester,United States,15,Yes,,
C0130,9/5/2023,11/11/2023,13.09,1,Apparel,West,Teresaburgh,United Kingdom,2,No,,
C0194,11/3/2023,11/18/2023,13.26,1,Beauty,North,Port Keith,Australia,0,No,,
C0388,5/21/2023,8/14/2023,13.28,1,Electronics,North,Port Jesseville,Australia,2,No,,
C0193,1/9/2023,2/24/2023,13.39,1,Toys,West,Ramirezstad,United Kingdom,1,No,,
C0432,10/21/2023,12/26/2023,13.39,1,Toys,North,New Stephanie,Australia,2,No,,
C0202,7/18/2023,12/16/2023,13.42,1,Home,East,Lake Leeton,Germany,5,No,,
C0500,1/15/2023,2/4/2023,13.46,1,Apparel,North,Rodneyside,France,0,Yes,,
C0438,4/19/2023,11/11/2023,13.53,1,Toys,South,Lake Larry,United States,6,No,,
C0340,5/27/2023,7/17/2023,13.56,1,Beauty,South,Leeville,Australia,1,No,,
C0051,1/23/2023,5/14/2023,13.70,1,Home,West,South Dianeshire,Canada,3,Yes,,
C0214,10/4/2023,12/15/2023,13.74,1,Apparel,East,North Beth,France,2,No,,
C0343,8/8/2022,11/13/2023,13.80,1,Home,South,Cassandraton,Germany,15,No,,
C0497,10/26/2023,11/14/2023,13.81,1,Sports,South,Cassandraton,Australia,0,No,,
C0380,9/3/2022,9/12/2023,13.86,1,Electronics,West,Coxberg,France,12,Yes,,
C0057,7/19/2023,11/2/2023,13.93,1,Sports,East,New David,United Kingdom,3,No,,
C0332,10/11/2022,12/21/2023,14.04,1,Home,South,North Sarabury,Canada,14,No,,
C0274,2/6/2022,8/13/2023,14.09,1,Toys,South,West Donald,France,18,Yes,,
C0167,12/6/2022,9/21/2023,14.13,1,Home,North,Coxberg,France,9,Yes,,
C0394,2/4/2023,7/28/2023,14.13,1,Apparel,West,East Lydiamouth,Canada,5,No,,
C0184,4/1/2023,4/26/2023,14.14,1,Toys,West,Davidstad,Germany,0,No,,
C0471,7/23/2022,10/5/2022,14.16,1,Toys,North,New Mariotown,Australia,2,No,,
C0143,7/29/2023,11/11/2023,14.17,1,Home,East,East Jamesside,Germany,3,No,,
C0010,4/12/2023,7/6/2023,14.17,1,Apparel,West,Hoffmanville,France,2,No,,
C0233,2/5/2023,7/5/2023,14.21,1,Sports,East,Williamview,Germany,5,No,,
C0437,12/12/2022,12/27/2022,14.24,1,Electronics,South,Saramouth,United States,0,Yes,,
C0011,8/3/2022,9/6/2023,14.25,1,Beauty,North,North Matthewberg,France,13,Yes,,
C0301,12/7/2023,12/28/2023,14.27,1,Electronics,South,New David,Canada,0,No,,
C0277,8/21/2022,1/28/2023,14.33,1,Apparel,East,North Amandahaven,Canada,5,Yes,,
C0090,12/4/2022,12/30/2022,14.33,1,Beauty,West,North Matthewberg,Canada,0,No,,
C0308,10/4/2022,1/4/2023,14.35,1,Toys,North,North Micheleland,United States,3,Yes,,
C0094,1/15/2023,12/18/2023,14.36,1,Beauty,South,West Elizabeth,France,11,No,,
C0334,3/29/2023,8/21/2023,14.44,1,Toys,North,Wilkersonmouth,Australia,4,No,,
C0225,11/3/2023,11/3/2023,14.46,1,Beauty,East,South Aaron,United Kingdom,0,No,,
C0044,5/20/2023,10/22/2023,14.46,1,Home,North,East Josephville,France,5,No,,
C0262,10/25/2022,10/24/2023,14.58,1,Toys,South,New Roberttown,Canada,12,Yes,,
C0009,5/2/2022,5/11/2022,14.60,1,Beauty,East,North Deniseside,Australia,0,No,,
C0156,11/30/2023,12/14/2023,14.61,1,Electronics,East,Jasonfort,Germany,0,No,,
C0082,4/1/2023,5/28/2023,14.63,1,Beauty,South,Jacquelineland,Germany,1,No,,
C0259,4/18/2023,11/19/2023,14.66,1,Home,North,Herrerafurt,France,7,No,,
C0477,9/4/2023,12/1/2023,14.67,1,Home,West,New Jeffrey,Germany,2,No,,
C0277,8/21/2022,9/7/2022,14.77,1,Sports,East,Ramirezstad,United Kingdom,0,Yes,,
C0237,7/17/2022,9/3/2022,14.82,1,Home,South,Port Richard,United States,1,No,,
C0016,4/10/2022,5/15/2023,14.96,1,Home,South,South Noah,United Kingdom,13,Yes,,
C0255,10/2/2023,10/16/2023,15.17,1,Beauty,West,East Nicholasfurt,United States,0,No,,
C0027,6/10/2022,8/8/2022,15.26,1,Electronics,North,Mooreport,United States,1,Yes,,
C0455,12/5/2023,12/13/2023,15.29,1,Electronics,West,New Jeffrey,United States,0,No,,
C0381,6/25/2022,4/9/2023,15.32,1,Sports,North,North Sarabury,United States,9,Yes,,
C0373,10/25/2023,12/2/2023,15.35,1,Sports,West,Lake Chad,United States,1,No,,
C0148,2/11/2023,12/28/2023,15.38,1,Sports,East,West Natashaport,United States,10,No,,
C0041,7/17/2023,9/2/2023,15.38,1,Sports,West,East Nicholasfurt,France,1,No,,
C0332,10/11/2022,7/25/2023,15.41,1,Electronics,West,East Nathaniel,United States,9,No,,
C0359,4/26/2022,3/15/2023,15.44,1,Electronics,West,Port Colleenhaven,France,10,No,,
C0493,9/15/2022,1/13/2023,15.45,1,Apparel,North,Lake Leeton,Australia,4,No,,
C0031,9/10/2022,12/25/2023,15.47,1,Apparel,West,Lake Matthew,United States,15,No,,
C0210,3/22/2022,6/8/2023,15.47,1,Electronics,North,East Jessetown,Germany,14,Yes,,
C0493,9/15/2022,11/30/2022,15.49,1,Beauty,East,West Donald,France,2,No,,
C0032,7/15/2023,12/19/2023,15.58,1,Beauty,West,New David,France,5,No,,
C0114,5/5/2023,5/5/2023,15.63,1,Home,North,Mortonside,Australia,0,Yes,,
C0032,7/15/2023,10/15/2023,15.66,1,Home,South,North John,France,3,No,,
C0117,1/28/2022,8/14/2022,15.69,1,Beauty,South,Lake Debra,France,6,No,,
C0002,3/12/2023,3/21/2023,15.80,1,Sports,North,New Stephanie,Australia,0,No,,
C0022,5/7/2023,8/19/2023,16.14,1,Home,East,Leeville,Canada,3,No,,
C0250,5/26/2023,6/13/2023,16.24,1,Apparel,North,Lake Larry,Australia,0,No,,
C0357,4/9/2022,5/4/2023,16.38,1,Sports,North,South Dianeshire,United States,13,No,,
C0029,11/10/2022,3/20/2023,16.39,1,Toys,South,New Brooke,Australia,4,Yes,,
C0468,2/16/2022,4/16/2023,16.44,1,Electronics,West,Robinsonshire,Canada,14,Yes,,
C0120,2/2/2022,9/7/2023,16.45,1,Beauty,West,Mooreport,Australia,19,Yes,,
C0450,8/24/2023,10/18/2023,16.51,1,Electronics,West,Davidstad,Australia,1,No,,
C0184,4/1/2023,4/7/2023,16.51,1,Beauty,West,Rodneyside,France,0,No,,
C0168,11/27/2022,10/22/2023,16.58,1,Apparel,South,North Beth,United Kingdom,10,No,,
C0143,7/29/2023,9/26/2023,16.58,1,Toys,West,East Donna,Canada,1,No,,
C0138,7/26/2022,4/21/2023,16.59,1,Electronics,North,North Sarabury,Canada,8,No,,
C0344,6/7/2022,8/4/2023,16.60,1,Toys,East,Lake Chad,France,14,No,,
C0463,3/27/2022,4/27/2022,16.64,1,Home,East,Robinsonshire,Germany,1,No,,
C0406,5/5/2022,12/10/2022,16.67,1,Apparel,West,East Josephville,Canada,7,No,,
C0088,12/26/2023,12/29/2023,16.79,1,Apparel,North,Coxberg,Australia,0,No,,
C0026,10/4/2022,9/20/2023,16.83,1,Toys,East,Sanchezfort,United Kingdom,11,No,,
C0001,4/13/2022,6/18/2022,16.83,1,Beauty,North,North Noahstad,United Kingdom,2,No,,
C0395,10/16/2023,10/16/2023,16.84,1,Electronics,West,West Michael,Germany,0,No,,
C0246,12/15/2022,7/10/2023,16.93,1,Apparel,South,Leeville,United States,6,No,,
C0271,9/11/2022,2/20/2023,16.94,1,Home,South,West Michael,United States,5,No,,
C0195,8/31/2023,11/3/2023,16.95,1,Beauty,East,South David,France,2,No,,
C0154,6/9/2023,11/11/2023,16.96,1,Home,North,New Roberttown,United Kingdom,5,No,,
C0017,10/26/2023,12/16/2023,17.01,1,Toys,North,Lake Larry,Germany,1,No,,
